dt,商品编码,用户浏览ID
2018/6/12,4940275,100000914507 
2018/6/13,5001143,100000914513 
2018/6/14,5008405,100000914745 
2018/6/15,5030833,100000996930 
2018/6/16,5059138,100000998304 
2018/6/17,5059150,100001012957 
2018/6/1,5059170,100001012983 
2018/6/2,5059180,100001012991 
2018/6/3,5088073,100001012993 
2018/6/4,5092735,100001013003 
2018/6/5,5092755,100001045285 
2018/6/6,5092757,100001051257 
2018/6/7,5092759,100001098957 
2018/6/8,5092761,100001118300 
2018/6/9,5092763,100001118330 
2018/6/10,5092773,100001118332 
2018/6/11,5111452,100001118362 
2018/6/12,5112180,100001118580 
2018/6/13,5112224,100001122352 
2018/6/14,5143957,100001122474 
2018/6/15,5148367,100001122476 
2018/6/16,206068,100001122480 
2018/6/17,501964,100001122490 
2018/6/1,975167,100001122502 
2018/6/2,1060555,100001144964 
2018/6/3,1262947,100001155699 
2018/6/4,1273547,100001159414 
2018/6/5,1285450,100001159420 
2018/6/6,1302628,100001159438 
2018/6/7,1450683,100001159466 
2018/6/8,1885374,100001159498 
2018/6/9,2341206,100001159526 
2018/6/10,2341248,100001270330 
2018/6/11,2353670,100001270334 
2018/6/12,2355319,100001328146 
2018/6/13,2853250,100001357111 
2018/6/14,2934968,100001362928 
2018/6/15,3026517,100001391570 
2018/6/16,3027103,100001442891 
2018/6/17,3064789,100001483996 
2018/6/1,3137713,100001484064 
2018/6/2,3169161,100001567837 
2018/6/3,3174925,100001567849 
2018/6/4,3251626,100001567863 
2018/6/5,3281658,100001567865 
2018/6/6,3533422,100001567945 
2018/6/7,3543430,100001613296 
2018/6/8,3770591,100001621829 
2018/6/9,3794329,100001621831 
2018/6/10,3808121,100001655146 
2018/6/11,3819585,100001657559 
2018/6/12,3862530,100001657681 
2018/6/13,3909004,100001680779 
2018/6/14,3998889,100001730666 
2018/6/15,4006436,100001757235 
2018/6/16,4006606,100001757239 
2018/6/17,4113294,100001757265 
2018/6/1,4167804,100001757267 
2018/6/2,4180745,100001757275 
2018/6/3,4183647,100001757277 
2018/6/4,4207165,100001757281 
2018/6/5,4207169,100001757283 
2018/6/6,4207613,100001757285 
2018/6/7,4207625,100001757287 
2018/6/8,4207627,100001757293 
2018/6/9,4276978,100001757295 
2018/6/10,4303416,100001757303 
2018/6/11,4303420,100001757305 
2018/6/12,4315536,100001757307 
2018/6/13,4317011,100001757311 
2018/6/14,4317149,100001757337 
2018/6/15,4331143,100001757341 
2018/6/16,4331183,100001757345 
2018/6/17,4331187,100001781764 
2018/6/18,4335045,100001808717 
2018/6/1,4335133,100001808739 
2018/6/2,4360188,100001834181 
2018/6/3,4387817,100001836560 
2018/6/4,4409727,100001836624 
2018/6/5,4494706,100001837793 
2018/6/6,4534739,100001852463 
2018/6/7,4599119,100001875117 
2018/6/8,4615006,100001911216 
2018/6/9,4634661,100001911376 
2018/6/10,4642345,100001913363 
2018/6/11,4643435,100001913365 
2018/6/12,4643437,100001913369 
2018/6/13,4664829,100001913371 
2018/6/14,4694174,100001943436 
2018/6/15,4755313,100001963237 
2018/6/16,4756825,100001963239 
2018/6/17,4786947,100001967509 
2018/6/18,4826839,100001967571 
2018/6/1,4887235,100001967575 
2018/6/2,4888026,100002035220 
2018/6/3,4890662,100002036277 
2018/6/4,4890664,100002039567 
2018/6/5,4890666,100002063377 
2018/6/6,4910938,100002097694 
2018/6/7,4940255,100002097696 
2018/6/8,4940275,100002097698 
2018/6/9,5001143,100002097704 
2018/6/10,5008405,100002097710 
2018/6/11,5030833,100002097712 
2018/6/12,5059138,100002097714 
2018/6/13,5059150,100002097724 
2018/6/14,5059170,100002097884 
2018/6/15,5059180,100002106615 
2018/6/16,5088073,100002106629 
2018/6/17,5092735,100002160263 
2018/6/18,5092755,100002172551 
2018/6/1,5092757,100002172553 
2018/6/2,5092759,100002194844 
2018/6/3,5092761,100002232938 
2018/6/4,5092763,100002232940 
2018/6/5,5092773,100002237037 
2018/6/6,5111452,100002248045 
2018/6/7,5112180,100002265047 
2018/6/8,5112224,100002265049 
2018/6/9,5143957,100002265051 
2018/6/10,5148367,100002267634 
2018/6/11,206068,100000069464 
2018/6/12,501964,100000074839 
2018/6/13,975167,100000074925 
2018/6/14,1060555,100000134249 
2018/6/15,1262947,100000134277 
2018/6/16,1273547,100000134793 
2018/6/17,1285450,100000158841 
2018/6/18,1302628,100000187324 
2018/6/1,1450683,100000187326 
2018/6/2,1885374,100000200669 
2018/6/3,2341206,100000207532 
2018/6/4,2341248,100000253890 
2018/6/5,2353670,100000308301 
2018/6/6,2355319,100000324457 
2018/6/7,2853250,100000324507 
2018/6/8,2934968,100000339293 
2018/6/9,3026517,100000342180 
2018/6/10,3027103,100000342192 
2018/6/11,3064789,100000342234 
2018/6/12,3137713,100000397189 
2018/6/13,3169161,100000401618 
2018/6/14,3174925,100000419417 
2018/6/15,3251626,100000419427 
2018/6/16,3281658,100000419459 
2018/6/17,3533422,100000419465 
2018/6/18,3543430,100000436237 
2018/6/1,3770591,100000436253 
2018/6/2,3794329,100000502648 
2018/6/3,3808121,100000529143 
2018/6/4,3819585,100000529351 
2018/6/5,3862530,100000529353 
2018/6/6,3909004,100000542290 
2018/6/7,3998889,100000558876 
2018/6/8,4006436,100000612355 
2018/6/9,4006606,100000612409 
2018/6/10,4113294,100000612411 
2018/6/11,4167804,100000633401 
2018/6/12,4180745,100000668210 
2018/6/13,4183647,100000668248 
2018/6/14,4207165,100000668310 
2018/6/15,4207169,100000668330 
2018/6/16,4207613,100000676959 
2018/6/17,4207625,100000676961 
2018/6/18,4207627,100000676963 
2018/6/1,4276978,100000683723 
2018/6/2,4303416,100000699694 
2018/6/3,4303420,100000699696 
2018/6/4,4315536,100000699710 
2018/6/5,4317011,100000699712 
2018/6/6,4317149,100000699728 
2018/6/7,4331143,100000699730 
2018/6/8,4331183,100000699732 
2018/6/9,4331187,100000699734 
2018/6/10,4335045,100000700300 
2018/6/11,4335133,100000731380 
2018/6/12,4360188,100000731384 
2018/6/13,4387817,100000731388 
2018/6/14,4409727,100000731406 
2018/6/15,4494706,100000758264 
2018/6/16,4534739,100000763055 
2018/6/17,4599119,100000763069 
2018/6/18,4615006,100000765840 
2018/6/1,4634661,100000765864 
2018/6/2,4642345,100000765870 
2018/6/3,4643435,100000765872 
2018/6/4,4643437,100000765874 
2018/6/5,4664829,100000765882 
2018/6/6,4694174,100000795170 
2018/6/7,4755313,100000813707 
2018/6/8,4756825,100000830211 
2018/6/9,4786947,100000895798 
2018/6/10,4826839,100000895826 
2018/6/11,4887235,100000895846 
2018/6/12,4888026,100000895848 
2018/6/13,4890662,100000913941 
2018/6/14,4890664,100000914431 
2018/6/15,4890666,100000914447 
2018/6/16,4910938,100000914507 
2018/6/17,4940255,100000914513 
2018/6/18,4940275,100000914745 
2018/6/1,5001143,100000996930 
2018/6/2,5008405,100000998304 
2018/6/3,5030833,100001012957 
2018/6/4,5059138,100001012983 
2018/6/5,5059150,100001012991 
2018/6/6,5059170,100001012993 
2018/6/7,5059180,100001013003 
2018/6/8,5088073,100001045285 
2018/6/9,5092735,100001051257 
2018/6/10,5092755,100001098957 
2018/6/11,5092757,100001118300 
2018/6/12,5092759,100001118330 
2018/6/13,5092761,100001118332 
2018/6/14,5092763,100001118362 
2018/6/15,5092773,100001118580 
2018/6/16,5111452,100001122352 
2018/6/17,5112180,100001122474 
2018/6/18,5112224,100001122476 
2018/6/1,5143957,100001122480 
2018/6/2,5148367,100001122490 
2018/6/3,206068,100001122502 
2018/6/4,501964,100001144964 
2018/6/5,975167,100001155699 
2018/6/1,1060555,100001159414 
2018/6/2,1262947,100001159420 
2018/6/3,1273547,100001159438 
2018/6/4,1285450,100001159466 
2018/6/5,1302628,100001159498 
2018/6/1,1450683,100001159526 
2018/6/2,1885374,100001270330 
2018/6/3,2341206,100001270334 
2018/6/4,2341248,100001328146 
2018/6/5,2353670,100001357111 
2018/6/1,2355319,100001362928 
2018/6/2,2853250,100001391570 
2018/6/3,2934968,100001442891 
2018/6/4,3026517,100001483996 
2018/6/5,3027103,100001484064 
2018/6/1,3064789,100001567837 
2018/6/2,3137713,100001567849 
2018/6/3,3169161,100001567863 
2018/6/4,3174925,100001567865 
2018/6/5,3251626,100001567945 
2018/6/1,3281658,100001613296 
2018/6/2,3533422,100001621829 
2018/6/3,3543430,100001621831 
2018/6/4,3770591,100001655146 
2018/6/5,3794329,100001657559 
2018/6/1,3808121,100001657681 
2018/6/2,3819585,100001680779 
2018/6/3,3862530,100001730666 
2018/6/4,3909004,100001757235 
2018/6/5,3998889,100001757239 
2018/6/1,4006436,100001757265 
2018/6/2,4006606,100001757267 
2018/6/3,4113294,100001757275 
2018/6/4,4167804,100001757277 
2018/6/5,4180745,100001757281 
2018/6/1,4183647,100001757283 
2018/6/2,4207165,100001757285 
2018/6/3,4207169,100001757287 
2018/6/4,4207613,100001757293 
2018/6/5,4207625,100001757295 
2018/6/1,4207627,100001757303 
2018/6/2,4276978,100001757305 
2018/6/3,4303416,100001757307 
2018/6/4,4303420,100001757311 
2018/6/5,4315536,100001757337 
2018/6/1,4317011,100001757341 
2018/6/2,4317149,100001757345 
2018/6/3,4331143,100001781764 
2018/6/4,4331183,100001808717 
2018/6/5,4331187,100001808739 
2018/6/1,4335045,100001834181 
2018/6/2,4335133,100001836560 
2018/6/3,4360188,100001836624 
2018/6/4,4387817,100001837793 
2018/6/5,4409727,100001852463 
2018/6/1,4494706,100001875117 
2018/6/2,4534739,100001911216 
2018/6/3,4599119,100001911376 
2018/6/4,4615006,100001913363 
2018/6/5,4634661,100001913365 
2018/6/1,4642345,100001913369 
2018/6/2,4643435,100001913371 
2018/6/3,4643437,100001943436 
2018/6/4,4664829,100001963237 
2018/6/5,4694174,100001963239 
2018/6/1,4755313,100001967509 
2018/6/2,4756825,100001967571 
2018/6/3,4786947,100001967575 
2018/6/4,4826839,100002035220 
2018/6/5,4887235,100002036277 
2018/6/1,4888026,100002039567 
2018/6/2,4890662,100002063377 
2018/6/3,4890664,100002097694 
2018/6/4,4890666,100002097696 
2018/6/5,4910938,100002097698 
2018/6/1,4940255,100002097704 
2018/6/2,4940275,100002097710 
2018/6/3,5001143,100002097712 
2018/6/4,5008405,100002097714 
2018/6/5,5030833,100002097724 
2018/6/1,5059138,100002097884 
2018/6/2,5059150,100002106615 
2018/6/3,5059170,100002106629 
2018/6/4,5059180,100002160263 
2018/6/5,5088073,100002172551 
2018/6/1,5092735,100002172553 
2018/6/2,5092755,100002194844 
2018/6/3,5092757,100002232938 
2018/6/4,5092759,100002232940 
2018/6/5,5092761,100002237037 
2018/6/1,5092763,100002248045 
2018/6/2,5092773,100002265047 
2018/6/3,5111452,100002265049 
2018/6/4,5112180,100002265051 
2018/6/5,5112224,100002267634 
2018/6/1,5143957,100000633401 
2018/6/2,5148367,100000668210 
2018/6/3,206068,100000668248 
2018/6/4,501964,100000668310 
2018/6/5,975167,100000668330 
2018/6/1,1060555,100000676959 
2018/6/2,1262947,100000676961 
2018/6/3,1273547,100000676963 
2018/6/4,1285450,100000683723 
2018/6/5,1302628,100000699694 
2018/6/1,1450683,100000699696 
2018/6/2,1885374,100000699710 
2018/6/3,2341206,100000699712 
2018/6/4,2341248,100000699728 
2018/6/5,2353670,100000699730 
2018/6/1,2355319,100000699732 
2018/6/2,2853250,100000699734 
2018/6/3,2934968,100000700300 
2018/6/4,3026517,100000731380 
2018/6/5,3027103,100000731384 
2018/6/1,3064789,100000731388 
2018/6/2,3137713,100000731406 
2018/6/3,3169161,100000758264 
2018/6/4,3174925,100000763055 
2018/6/5,3251626,100000763069 
2018/6/1,3281658,100000765840 
2018/6/2,3533422,100000765864 
2018/6/3,3543430,100000765870 
2018/6/4,3770591,100000765872 
2018/6/5,3794329,100000765874 
2018/6/1,3808121,100000765882 
2018/6/2,3819585,100000795170 
2018/6/3,3862530,100000813707 
2018/6/4,3909004,100000830211 
2018/6/5,3998889,100000895798 
2018/6/1,4006436,100000895826 
2018/6/2,4006606,100000895846 
2018/6/3,4113294,100000895848 
2018/6/4,4167804,100000913941 
2018/6/5,4180745,100000914431 
2018/6/1,4183647,100000914447 
2018/6/2,4207165,100000914507 
2018/6/3,4207169,100000914513 
2018/6/4,4207613,100000914745 
2018/6/5,4207625,100000996930 
2018/6/1,4207627,100000998304 
2018/6/2,4276978,100001012957 
2018/6/3,4303416,100001012983 
2018/6/4,4303420,100001012991 
2018/6/5,4315536,100001012993 
2018/6/1,4317011,100001013003 
2018/6/2,4317149,100001045285 
2018/6/3,4331143,100001051257 
2018/6/4,4331183,100001098957 
2018/6/5,4331187,100001118300 
2018/6/1,4335045,100001118330 
2018/6/2,4335133,100001118332 
2018/6/3,4360188,100001118362 
2018/6/4,4387817,100001118580 
2018/6/5,4409727,100001122352 
2018/6/1,4494706,100001122474 
2018/6/2,4534739,100001122476 
2018/6/3,4599119,100001122480 
2018/6/4,4615006,100001122490 
2018/6/5,4634661,100001122502 
2018/6/1,4642345,100001144964 
2018/6/2,4643435,100001155699 
2018/6/3,4643437,100001159414 
2018/6/4,4664829,100001159420 
2018/6/5,4694174,100001159438 
2018/6/1,4755313,100001159466 
2018/6/2,4756825,100001159498 
2018/6/3,4786947,100001159526 
2018/6/4,4826839,100001270330 
2018/6/5,4887235,100001270334 
2018/6/1,4888026,100001328146 
2018/6/2,4890662,100001357111 
2018/6/3,4890664,100001362928 
2018/6/4,4890666,100001391570 
2018/6/5,4910938,100001442891 
2018/6/1,4940255,100001483996 
2018/6/2,4940275,100001484064 
2018/6/3,5001143,100001567837 
2018/6/4,5008405,100001567849 
2018/6/5,5030833,100001567863 
2018/6/1,5059138,100001567865 
2018/6/2,5059150,100001567945 
2018/6/3,5059170,100001613296 
2018/6/4,5059180,100001621829 
2018/6/5,5088073,100001621831 
2018/6/1,5092735,100001655146 
2018/6/2,5092755,100001657559 
2018/6/3,5092757,100001657681 
2018/6/4,5092759,100001680779 
2018/6/5,5092761,100001730666 
2018/6/1,5092763,100001757235 
2018/6/2,5092773,100001757239 
2018/6/3,5111452,100001757265 
2018/6/4,5112180,100001757267 
2018/6/5,5112224,100001757275 
2018/6/6,5143957,100001757277 
2018/6/7,5148367,100001757281 
2018/6/8,206068,100001757283 
2018/6/9,501964,100001757285 
2018/6/10,975167,100001757287 
2018/6/11,1060555,100001757293 
2018/6/12,1262947,100001757295 
2018/6/13,1273547,100001757303 
2018/6/14,1285450,100001757305 
2018/6/15,1302628,100001757307 
2018/6/16,1450683,100001757311 
2018/6/17,1885374,100001757337 
2018/6/18,2341206,100001757341 
2018/6/13,2341248,100001757345 
2018/6/14,2353670,100001781764 
2018/6/15,2355319,100001808717 
2018/6/16,2853250,100001808739 
2018/6/17,2934968,100001834181 
2018/6/18,3026517,100001836560 
2018/6/13,3027103,100001836624 
2018/6/14,3064789,100001837793 
2018/6/15,3137713,100001852463 
2018/6/16,3169161,100001875117 
2018/6/17,3174925,100001911216 
2018/6/18,3251626,100001911376 
2018/6/13,3281658,100001913363 
2018/6/14,3533422,100001913365 
2018/6/15,3543430,100001913369 
2018/6/16,3770591,100001913371 
2018/6/17,3794329,100001943436 
2018/6/18,3808121,100001963237 
2018/6/13,3819585,100001963239 
2018/6/14,3862530,100001967509 
2018/6/15,3909004,100001967571 
2018/6/16,3998889,100001967575 
2018/6/17,4006436,100002035220 
2018/6/18,4006606,100002036277 
2018/6/13,4113294,100002039567 
2018/6/14,4167804,100002063377 
2018/6/15,4180745,100002097694 
2018/6/16,4183647,100002097696 
2018/6/17,4207165,100002097698 
2018/6/18,4207169,100002097704 
2018/6/13,4207613,100002097710 
2018/6/14,4207625,100002097712 
2018/6/15,4207627,100002097714 
2018/6/16,4276978,100002097724 
2018/6/17,4303416,100002097884 
2018/6/18,4303420,100002106615 
2018/6/13,4315536,100002106629 
2018/6/14,4317011,100002160263 
2018/6/15,4317149,100002172551 
2018/6/16,4331143,100002172553 
2018/6/17,4331183,100002194844 
2018/6/18,4331187,100002232938 
2018/6/13,4335045,100002232940 
2018/6/14,4335133,100002237037 
2018/6/15,4360188,100002248045 
2018/6/16,4387817,100002265047 
2018/6/17,4409727,100002265049 
2018/6/18,4494706,100002265051 
2018/6/13,4534739,100002267634 
2018/6/14,4599119,100000914447 
2018/6/15,4615006,100000914507 
2018/6/16,4634661,100000914513 
2018/6/17,4642345,100000914745 
2018/6/18,4643435,100000996930 
2018/6/13,4643437,100000998304 
2018/6/14,4664829,100001012957 
2018/6/15,4694174,100001012983 
2018/6/16,4755313,100001012991 
2018/6/17,4756825,100001012993 
2018/6/18,4786947,100001013003 
2018/6/13,4826839,100001045285 
2018/6/14,4887235,100001051257 
2018/6/15,4888026,100001098957 
2018/6/16,4890662,100001118300 
2018/6/17,4890664,100001118330 
2018/6/18,4890666,100001118332 
2018/6/13,4910938,100001118362 
2018/6/14,4940255,100001118580 
2018/6/15,4940275,100001122352 
2018/6/16,5001143,100001122474 
2018/6/17,5008405,100001122476 
2018/6/18,5030833,100001122480 
2018/6/13,5059138,100001122490 
2018/6/14,5059150,100001122502 
2018/6/15,5059170,100001144964 
2018/6/16,5059180,100001155699 
2018/6/17,5088073,100001159414 
2018/6/18,5092735,100001159420 
2018/6/13,5092755,100001159438 
2018/6/14,5092757,100001159466 
2018/6/15,5092759,100001159498 
2018/6/16,5092761,100001159526 
2018/6/17,5092763,100001270330 
2018/6/18,5092773,100001270334 
2018/6/13,5111452,100001328146 
2018/6/14,5112180,100001357111 
2018/6/15,5112224,100001362928 
2018/6/16,5143957,100001391570 
2018/6/17,5148367,100001442891 
2018/6/18,206068,100001483996 
2018/6/13,501964,100001484064 
2018/6/14,975167,100001567837 
2018/6/15,1060555,100001567849 
2018/6/16,1262947,100001567863 
2018/6/17,1273547,100001567865 
2018/6/18,1285450,100001567945 
2018/6/13,1302628,100001613296 
2018/6/14,1450683,100001621829 
2018/6/15,1885374,100001621831 
2018/6/16,2341206,100001655146 
2018/6/17,2341248,100001657559 
2018/6/18,2353670,100001657681 
2018/6/13,2355319,100001680779 
2018/6/14,2853250,100001730666 
2018/6/15,2934968,100001757235 
2018/6/16,3026517,100001757239 
2018/6/17,3027103,100001757265 
2018/6/18,3064789,100001757267 
2018/6/13,3137713,100001757275 
2018/6/14,3169161,100001757277 
2018/6/15,3174925,100001757281 
2018/6/16,3251626,100001757283 
2018/6/17,3281658,100001757285 
2018/6/18,3533422,100001757287 
2018/6/13,3543430,100001757293 
2018/6/14,3770591,100001757295 
2018/6/15,3794329,100001757303 
2018/6/16,3808121,100001757305 
2018/6/17,3819585,100001757307 
2018/6/18,3862530,100001757311 
2018/6/13,3909004,100001757337 
2018/6/14,3998889,100001757341 
2018/6/15,4006436,100001757345 
2018/6/16,4006606,100001781764 
2018/6/17,4113294,100001808717 
2018/6/18,4167804,100001808739 
2018/6/13,4180745,100001834181 
2018/6/14,4183647,100001836560 
2018/6/15,4207165,100001836624 
2018/6/16,4207169,100001837793 
2018/6/17,4207613,100001852463 
2018/6/5,4207625,100001875117 
2018/6/6,4207627,100001911216 
2018/6/7,4276978,100001911376 
2018/6/8,4303416,100001913363 
2018/6/9,4303420,100001913365 
2018/6/10,4315536,100001913369 
2018/6/11,4317011,100001913371 
2018/6/5,4317149,100001943436 
2018/6/6,4331143,100001963237 
2018/6/7,4331183,100001963239 
2018/6/8,4331187,100001967509 
2018/6/9,4335045,100001967571 
2018/6/10,4335133,100001967575 
2018/6/11,4360188,100002035220 
2018/6/5,4387817,100002036277 
2018/6/6,4409727,100002039567 
2018/6/7,4494706,100002063377 
2018/6/8,4534739,100002097694 
2018/6/9,4599119,100002097696 
2018/6/10,4615006,100002097698 
2018/6/11,4634661,100002097704 
2018/6/5,4642345,100002097710 
2018/6/6,4643435,100002097712 
2018/6/7,4643437,100002097714 
2018/6/8,4664829,100002097724 
2018/6/9,4694174,100002097884 
2018/6/10,4755313,100002106615 
2018/6/11,4756825,100002106629 
2018/6/5,4786947,100002160263 
2018/6/6,4826839,100002172551 
2018/6/7,4887235,100002172553 
2018/6/8,4888026,100002194844 
2018/6/9,4890662,100002232938 
2018/6/10,4890664,100002232940 
2018/6/11,4890666,100002237037 
2018/6/5,4910938,100002248045 
2018/6/6,4940255,100002265047 
2018/6/7,4940275,100002265049 
2018/6/8,5001143,100002265051 
2018/6/9,5008405,100002267634 
2018/6/10,5030833,100001122502 
2018/6/11,5059138,100001144964 
2018/6/5,5059150,100001155699 
2018/6/6,5059170,100001159414 
2018/6/7,5059180,100001159420 
2018/6/8,5088073,100001159438 
2018/6/9,5092735,100001159466 
2018/6/10,5092755,100001159498 
2018/6/11,5092757,100001159526 
2018/6/5,5092759,100001270330 
2018/6/6,5092761,100001270334 
2018/6/7,5092763,100001328146 
2018/6/8,5092773,100001357111 
2018/6/9,5111452,100001362928 
2018/6/10,5112180,100001391570 
2018/6/11,5112224,100001442891 
2018/6/5,5143957,100001483996 
2018/6/6,5148367,100001484064 
2018/6/7,206068,100001567837 
2018/6/8,501964,100001567849 
2018/6/9,975167,100001567863 
2018/6/10,1060555,100001567865 
2018/6/11,1262947,100001567945 
2018/6/5,1273547,100001613296 
2018/6/6,1285450,100001621829 
2018/6/7,1302628,100001621831 
2018/6/8,1450683,100001655146 
2018/6/9,1885374,100001657559 
2018/6/10,2341206,100001657681 
2018/6/11,2341248,100001680779 
2018/6/5,2353670,100001730666 
2018/6/6,2355319,100001757235 
2018/6/7,2853250,100001757239 
2018/6/8,2934968,100001757265 
2018/6/9,3026517,100001757267 
2018/6/10,3027103,100001757275 
2018/6/11,3064789,100001757277 
2018/6/5,3137713,100001757281 
2018/6/6,3169161,100001757283 
2018/6/7,3174925,100001757285 
2018/6/5,3251626,100001757287 
2018/6/6,3281658,100001757293 
2018/6/7,3533422,100001757295 
2018/6/8,3543430,100001757303 
2018/6/9,3770591,100001757305 
2018/6/10,3794329,100001757307 
2018/6/11,3808121,100001757311 
2018/6/5,3819585,100001757337 
2018/6/6,3862530,100001757341 
2018/6/7,3909004,100001757345 
2018/6/8,3998889,100001781764 
2018/6/9,4006436,100001808717 
2018/6/10,4006606,100001808739 
2018/6/11,4113294,100001834181 
2018/6/5,4167804,100001836560 
2018/6/6,4180745,100001836624 
2018/6/7,4183647,100001837793 
2018/6/8,4207165,100001852463 
2018/6/9,4207169,100001875117 
2018/6/10,4207613,100001911216 
2018/6/11,4207625,100001911376 
2018/6/5,4207627,100001913363 
2018/6/6,4276978,100001913365 
2018/6/7,4303416,100001913369 
2018/6/8,4303420,100001913371 
2018/6/1,4315536,100001943436 
2018/6/2,4317011,100001963237 
2018/6/3,4317149,100001963239 
2018/6/4,4331143,100001967509 
2018/6/5,4331183,100001967571 
2018/6/6,4331187,100001967575 
2018/6/7,4335045,100002035220 
2018/6/8,4335133,100002036277 
2018/6/9,4360188,100002039567 
2018/6/10,4387817,100002063377 
2018/6/11,4409727,100002097694 
2018/6/12,4494706,100002097696 
2018/6/13,4534739,100002097698 
2018/6/14,4599119,100002097704 
2018/6/15,4615006,100002097710 
2018/6/16,4634661,100002097712 
2018/6/17,4642345,100002097714 
2018/6/18,4643435,100002097724 
2018/6/1,4643437,100002097884 
2018/6/2,4664829,100002106615 
2018/6/3,4694174,100002106629 
2018/6/4,4755313,100002160263 
2018/6/5,4756825,100002172551 
2018/6/6,4786947,100002172553 
2018/6/7,4826839,100002194844 
2018/6/8,4887235,100002232938 
2018/6/9,4888026,100002232940 
2018/6/10,4890662,100002237037 
2018/6/11,4890664,100002248045 
2018/6/12,4890666,100002265047 
2018/6/13,4910938,100002265049 
2018/6/14,4940255,100002265051 
2018/6/15,4940275,100002267634 
2018/6/16,5001143,100001122502 
2018/6/17,5008405,100001144964 
2018/6/18,5030833,100001155699 
2018/6/1,5059138,100001159414 
2018/6/2,5059150,100001159420 
2018/6/3,5059170,100001159438 
2018/6/4,5059180,100001159466 
2018/6/5,5088073,100001159498 
2018/6/6,5092735,100001159526 
2018/6/7,5092755,100001270330 
2018/6/8,5092757,100001270334 
2018/6/9,5092759,100001328146 
2018/6/10,5092761,100001357111 
2018/6/11,5092763,100001362928 
2018/6/12,5092773,100001391570 
2018/6/13,5111452,100001442891 
2018/6/14,5112180,100001483996 
2018/6/15,5112224,100001484064 
2018/6/16,5143957,100001567837 
2018/6/17,5148367,100001567849 
2018/6/18,206068,100001567863 
2018/6/1,501964,100001567865 
2018/6/2,975167,100001567945 
2018/6/3,1060555,100001613296 
2018/6/4,1262947,100001621829 
2018/6/5,1273547,100001621831 
2018/6/6,1285450,100001655146 
2018/6/7,1302628,100001657559 
2018/6/8,1450683,100001657681 
2018/6/9,1885374,100001680779 
2018/6/10,2341206,100001730666 
2018/6/11,2341248,100001757235 
2018/6/12,2353670,100001757239 
2018/6/13,2355319,100001757265 
2018/6/14,2853250,100001757267 
2018/6/15,2934968,100001757275 
2018/6/16,3026517,100001757277 
2018/6/17,3027103,100001757281 
2018/6/18,3064789,100001757283 
2018/6/1,3137713,100001757285 
2018/6/2,3169161,100001757287 
2018/6/3,3174925,100001757293 
2018/6/4,3251626,100001757295 
